,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소비자물가,2.8,3.5,3.6,2.8,2.2,2.5,4.7,2.8,2.9,4.0,2.2,1.3,1.3,0.7,1.0,1.9,1.5,0.4,0.5,2.5,5.1
- 농축수산물,6.2,5.9,8.9,1.9,-0.1,1.9,0.5,6.4,10.0,9.2,3.1,-0.6,-2.7,2.0,3.8,5.5,3.7,-1.7,6.7,8.7,3.8
- 공업제품,1.6,2.4,2.6,3.7,2.0,1.9,7.8,2.5,3.2,4.9,2.8,0.9,1.3,-0.2,-0.5,1.4,1.3,-0.2,-0.2,2.3,6.9
- 집세,5.7,3.6,1.6,-0.2,0.4,1.8,2.3,1.6,1.9,4.0,4.2,2.7,2.3,2.5,1.9,1.6,0.6,-0.1,0.2,1.4,1.9
- 공공서비스,-1.3,2.5,2.5,3.2,3.5,3.1,2.5,2.0,1.2,-0.4,0.5,0.7,0.7,1.2,1.5,1.0,0.2,-0.5,-1.9,1.0,0.8
- 개인서비스,3.7,4.5,4.1,3.2,3.0,3.1,4.7,2.8,2.2,3.7,1.1,1.6,1.7,1.9,2.7,2.5,2.5,1.9,1.2,2.6,5.4
근원물가,3.0,3.1,2.9,2.3,1.8,2.3,4.3,3.6,1.8,3.2,1.7,1.6,2.0,2.2,1.6,1.5,1.2,0.9,0.7,1.8,4.1
생활물가,2.5,4.0,4.9,4.0,3.1,3.2,5.3,2.1,3.4,4.4,1.7,0.7,0.8,-0.2,0.7,2.5,1.6,0.2,0.4,3.2,6.0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
