,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소비지출액(단위: 천 원),,1700 ,1797 ,1872 ,1945 ,2016 ,2114 ,2149 ,2287 ,2393 ,2457 ,2481 ,2551 ,2563 ,2550 ,2557 ,2538 ,2457 ,2400 ,2495 ,2640 
소비항목별 구성비(단위: %),식료품·비주류음료,15,15.1,14.6,14.2,13.8,14.1,13.8,13.9,14.2,14.2,14,13.8,13.8,13.7,14.1,14.4,13.5,15.9,15.9,14.8
,주류·담배,1.4,1.5,1.5,1.5,1.4,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.3,1.4,1.4,1.4,1.5,1.6,1.6,1.5
,의류·신발,6.6,6.3,6.3,6.3,6.4,6.2,6.1,6.4,6.5,6.8,6.8,6.6,6.3,6.2,6.2,6,5.6,4.9,5,5.2
,주거·수도·광열,9.9,9.7,9.8,9.9,9.7,9.7,9.8,10.1,10.1,10.4,10.8,10.4,10.8,10.7,11.1,11.2,11.3,11.9,12,11.5
,가정용품·가사서비스,3.5,3.4,3.6,3.5,3.7,3.5,3.6,3.8,3.8,3.8,4,4.1,4.1,4.3,4.4,4.6,4.7,5.3,5.2,4.4
,보건,5.8,5.7,5.9,6.2,6.4,6.2,6.5,6.7,6.5,6.5,6.6,6.6,6.8,7,7.1,7.5,8.2,9.2,9.1,8.8
,교통,11.7,11.6,12,12.5,12.4,12.4,12.4,11.9,12.3,12.3,12.4,13.1,12.5,12.1,14.4,13.7,12,12,11.5,12
,통신,7.4,7.3,7,6.8,6.7,6.3,6.2,6.1,6,6.2,6.2,5.9,5.8,5.6,5.4,5.3,5,5,5,4.9
,오락·문화,5.9,5.5,5.4,5.4,5.3,5.2,5.2,5.5,5.4,5.5,5.6,5.8,5.8,5.9,6.8,7.6,7.3,5.8,5.7,6.4
,교육,11,11.3,11.3,11.4,11.9,12.8,13.5,13,12.3,11.7,11.4,11.2,11.1,11.1,7.4,6.8,8.3,6.6,7.3,7.7
,음식·숙박,13.8,14.2,13.8,13.4,13.5,13.6,13,12.7,12.5,12.7,12.9,13.1,13.2,13.5,13.9,13.8,14.1,13.3,13.5,15
,기타 상품·서비스,8.2,8.5,8.6,8.9,8.8,8.7,8.6,8.9,9.2,8.8,8.2,8.4,8.4,8.6,7.9,7.6,8.4,8.5,8.3,8
,합계,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
